section_id,text,type,confidence,category
E,"If the Contractor is unable to comply with the requirement to use IPP for submitting invoices for payment, the Contractor must submit a waiver request in writing to the Contracting Officer with its proposal or quotation. (End of Clause)",Mandatory,0.8,Compliance
E,"In addition, the COR will NOT supervise, direct, or control contractor employees.",Informative,0.6,General
E,NLRB Clause: IPP-001 Electronic Invoicing and Payment Requirements – Invoice Processing Platform (IPP) Payment requests must be submitted electronically through the U.S.,Mandatory,0.8,General
E,"Notwithstanding this provision, to the extent that the contractor accepts any direction that constitutes a change to this contract/task order without prior written authorization of the CO, costs incurred in connection therewith are incurred at the sole risk of the contractor, and if invoiced under this task order will be disallowed.",Informative,0.6,General
E,"On all matters that pertain to the contract terms, the contractor must communicate with the CO.",Mandatory,0.8,General
E,"The Contractor Government Business Point of Contact (as listed in SAM) will receive enrollment instructions via email from the Federal Reserve prior to the contract award date, but no more than 3 – 5 business days of the contract award date.",Informative,0.6,General
E,"The Contractor must use the IPP website to register, access and use IPP for submitting requests for payment.",Mandatory,0.8,General
E,"To constitute a proper invoice, the payment request must comply with the requirements identified in the applicable Prompt Payment clause included in the contract, or the clause 52.212-4, Contract Terms and Conditions – Commercial items included in commercial item contracts.",Mandatory,0.8,Compliance
E,"Under NO circumstances is the COR authorized to effect any changes in the work required under this contract/task order, enter into any agreement that has the effect of changing the terms and conditions of this task order, or that causes the contractor to incur costs.",Mandatory,0.8,General
E,"Whenever, in the opinion of the contractor, the COR requests efforts beyond the terms of the contract, the contractor shall so advise the CO.",Mandatory,0.8,General
F,"Additionally, the contractor shall provide a certification that all government information has been properly sanitized and purged from contractor-owned systems, including backup systems and media used during contract performance. • The Contractor (and/or any subcontractor) shall perform, document, and make available to OCIO the actions identified in Employee Separation Checklist when an employee terminates work under this contract within 5 calendar days (or as otherwise specified by the Program Office) of the employee’s exit from the contract.",Mandatory,0.8,Service
F,"Contractor (and/or any subcontractor) shall be responsible for: • Following secure coding best practice requirements, as directed by the United States Computer Emergency Readiness Team (US-CERT) specified standards and the Open Web Application Security Project (OWASP) that shall limit system software vulnerability exploits • Ensuring IT applications designed and developed for end users (including mobile applications and software licenses) run in the standard user context without requiring elevated administrative privileges • Ensuring that computer software developed on behalf of NLRB or tailored from an open-source product, is fully functional and operates correctly on systems configured in accordance with government policy and federal configuration standards.",Mandatory,0.8,Technical
F,"DESCRIPTION OF THE INFORMATION SYSTEM DEVELOPMENT ENVIRONMENT AND ENVIRONMENT IN WHICH THE SYSTEM IS INTENDED TO OPERATE OCIO staff is responsible for ensuring that special physical security or environmental security requirements are implemented for facilities and equipment used for processing, transmitting, or storing sensitive information based on the level of risk.",Mandatory,0.8,Technical
F,"Destruction of information and/or data shall be accomplished in accordance with NIST SP 800- 88, Guidelines for Media Sanitization • Privacy Act Requirements – if performance of this contract has been determined to involve the design, development, or operation of a system of records on individuals, the contractor shall comply with the Privacy Act of 1974, and complete all NLRB Privacy Impact Assessment requirements.",Mandatory,0.8,Technical
F,"Following and adhering to NIST SP 800-37, at a minimum, for system development and provide system documentation at designated intervals (specifically, at the expiration) providing all required documentation, as part of contract closeout and at expiration of the contract, as specified by the OCIO, to designated officials to certify that, at the government’s direction, all electronic and paper records are appropriately disposed of and all devices and media are sanitized in accordance with NIST SP 800-88, Guidelines for Media Sanitization • The contractor (and/or any subcontractors) shall return all government information and IT resources (in nongovernment-owned systems, media, and backup systems) acquired during the term of this contract to OCIO.",Mandatory,0.8,Technical
F,"In addition, all products or systems using the Internet Protocol shall maintain operability with both IPv4 and IPv6 • The contractor (and/or any subcontractor) shall ensure secure protocols by utilizing HTTPS only, with HSTS for internal and external websites SECURITY ASSURANCE REQUIREMENTS The following security assurance requirements apply to the performance of this contract: • The contractor (and/or any subcontractor) shall develop and maintain a system security architecture, which includes effective network segmentation design and solutions to limit lateral movement across systems on NLRB’s networks • The contractor (and/or any subcontractor) shall certify that applications are fully functional and operate correctly as intended on systems using baselines such as the US Government Configuration Baseline (USGCB), DISA Security Technical Implementation Guides (STIGs) or any other NLRB-identified configuration baseline.",Mandatory,0.8,Technical
F,"In addition, any deviations or changes to the baseline including the patching of software, maintenance or updates must be approved and documented • The contractor (and/or any subcontractor) shall ensure that all IT equipment (e.g., laptops, desktops, servers, routers, mobile devices, peripheral devices, etc.) used to process information on behalf of NLRB are deployed and operated in accordance with approved security configurations and meet the following minimum requirements: a.",Mandatory,0.8,Technical
F,"In addition, the contractor (and/or any subcontractor) shall retire and/or upgrade all software/systems that have reached end-of-life status SECURITY-RELATED DOCUMENTATION REQUIREMENTS The security-related documentation requirements in support of government issuance of security assessment and authorization to operate (ATO) decisions and to support the accurate and consistent application of policies, processes and procedures for systems for performance of the work under this contract are as follows: • The Contractor (and/or subcontractor) shall categorize all systems in accordance with FIPS Publications 199 and 200 and ensure that controls are designed and implemented consistent with the most recent finalized version of NIST SP 800-53, Recommended Security Controls for Federal Information Systems and Organizations • The contractor (and/or subcontractor) shall develop and maintain documentation per NIST Risk Management Framework guidance, including but not limited to: a.",Mandatory,0.8,Technical
F,"In addition, the contractor shall support a system of records in accordance with any PIAs required and generated by any PTAs, and any applicable System of Record Notices (SORNs), in conjunction with the judgment of the Privacy Office, and NLRB-approved records and retention schedule(s) and protection requirements for federal agencies • Risk Management Framework for Information Systems and Organizations: A System Life Cycle Approach for Security and Privacy.",Mandatory,0.8,Technical
F,"Information which, either alone or when compared with other reasonably available information, is deemed sensitive or proprietary by NLRB shall be protected as instructed in accordance with the magnitude of the loss or harm that could result from inadvertent or deliberate disclosure, alteration, or destruction of the data.",Mandatory,0.8,General
F,"No sensitive data shall be used during software testing • Protecting information that is deemed sensitive from unauthorized disclosure to persons, organizations, or subcontractors who do not have a need to know.",Mandatory,0.8,Technical
F,"Privacy Impact Analysis (PIA) • The contractor (and/or subcontractor) shall have an independent third-party validate the security and privacy controls in place for the system(s) and report on technical, operational, and management level deficiencies as outlined in NIST SP 800-53.",Mandatory,0.8,Technical
F,"SECURITY FUNCTIONAL REQUIREMENTS The contractor (and/or any subcontractor) shall comply with all Federal and National Labor Relations Board (NLRB) security functional requirements, including but not limited to, the regulations and guidance found in the following: • Federal Information Security Modernization Act of 2014 (FISMA) • Privacy Act of 1974 • E-Government Act of 2002 • National Institute of Standards and Technology (NIST) Special Publications (SP) including NIST SP 800-37, 800-53, and 800-60 Volumes I and II • Federal Information Processing Standards (FIPS) Publications 140-3, 199, and 200 • Office of Management and Budget (OMB) Circular A-130 • Federal Risk and Authorization Management Program (FedRAMP) • National Labor Relations Board “Dash 1” (-1) Policies for NLRB and NLRB systems • National Labor Relations Board Administrative Policies and Procedures Manuals (APPMs) SECURITY STRENGTH REQUIREMENTS The following security strength requirements shall be met during the performance of this contract: • The contractor (and/or any subcontractor) shall protect all government information that is or may be sensitive in accordance with FISMA by securing it with a FIPS 140-3 validated solution • The contractor (and/or any subcontractor) shall ensure that systems/products/applications have the ability to facilitate single-sign-on capabilities and required support for HSPD-12 Personal Identity Verification (PIV) enablement and integration • The contractor (and/or any subcontractor) shall implement remote access solutions that use multi-factor authentication solutions and that prohibit the use of split tunneling and/or dual- connected remote hosts where the connecting device has two active connections • The contractor (and/or any subcontractor) shall implement capabilities for all incoming email traffic to be analyzed using sender authentication protocols, e.g., DKIM, DMARC, VBR, SPF • The contractor (and/or any subcontractor) shall ensure that all systems, including hardware, software, firmware, and/or network components developed, procured, or acquired in support and/or performance of any contract using the Internet Protocol are formatted in accordance with commercial standards of Internet Protocol version 6 (IPv6) as set forth in the USGv6 Profile (NIST Special Publication 800-119).",Mandatory,0.8,Technical
F,"Safeguarding Controlled Unclassified Information (CUI) - CUI is defined as “information that laws, regulations, or Government-wide policies require to have safeguarding or dissemination controls, excluding classified information.” These include, but are not limited to: • Complying with Executive Order 13556, Controlled Unclassified Information, (implemented at 32 CFR, part 2002) when handling Controlled Unclassified Information, including but not limited to, marking, safeguarding, transporting, disseminating, reusing, and disposing of the information. • All sensitive information that has been identified as CUI by a regulation or statute, handled by this solicitation/contract, shall be: a.",Mandatory,0.8,Compliance
F,"The contractor shall address all “high” deficiencies, and any other deficiency requiring contractor mitigation as identified by the Program Office, before submitting the package to NLRB for acceptance • The contractor (and/or subcontractor) shall develop and maintain Plan of Actions and Milestones (POA&Ms) for all remaining deficiencies to be reviewed by NLRB Contracting Officers and the Office of the Chief Information Officer (OCIO) staff for security compliance and ensure that system weaknesses are captured in the POA&Ms.",Mandatory,0.8,Technical
F,"The contractor shall assist OCIO Privacy staff with conducting a Privacy Threshold Analyses (PTA) on systems used to collect information on individuals or when NLRB develops, acquires, or buys new systems to handle collecting information in identifiable form to determine whether or not a full Privacy Impact Assessment (PIA) needs to be completed • OCIO staff/System Owners should provide advice and assistance to NLRB Contracting Officers identifying additional security requirements for system software, networks and applications REQUIREMENTS FOR PROTECTING SECURITY-RELATED DOCUMENTATION Contractor (and/or any subcontractor) shall be responsible for complying with all NLRB security requirements including applicable federal laws, Executive Orders, directives, policies, regulations, and industry standards.",Mandatory,0.8,Technical
F,The contractor shall test applicable products and versions with all relevant and current updates and patches updated prior to installing in the NLRB environment.,Mandatory,0.8,General
F,"The preliminary notice does not commit the Government to an extension. (b) If the Government exercises this option, the extended contract shall be considered to include this option clause. (c) The total duration of this contract, including the exercise of any options under this clause, shall not exceed 5 years. 52.239-9000 Information Technology Security Requirements (March 2021) In the performance of this contract, the contractor shall comply with the following information technology (IT) security requirements.",Mandatory,0.8,Technical
F,"Using Security Content Automation Protocol (SCAP)-validated tools with USGCB Scanner capabilities to scan its systems at least on a monthly basis and report the results of these scans to the CO and/or COR, Project Officer, and any other applicable designated point of contact • The Contractor shall provide all information from any managed systems to NLRB, as requested, and shall assist, as needed, to perform periodic vulnerability assessments of the network, operating systems, and applications to identify vulnerabilities and propose mitigations • The contractor (and/or any subcontractor) shall include actions and initiatives to implement the NIST Cybersecurity Framework that emphasizes and measures capabilities to “Identify, Protect, Detect, Respond, and Recover,” and ensure that all applicable Service Level Agreements (SLAs), Interconnection Security Agreement (ISA) or Memorandum of Agreement/Understanding (MOA/U) are adhered to, complied with, and satisfied • The contractor (and/or any subcontractor) shall use Commercial off the Shelf (COTS) software or other software that is supported by the manufacturer.",Mandatory,0.8,Technical
